127.0.0.1 - - [10/Jul/2022:20:06:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:06:46 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:08 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:34 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10795
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/overview-frame.html HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/allclasses-frame.html HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/overview-summary.html HTTP/1.1" 200 4922
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:36 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:39 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/package-summary.html HTTP/1.1" 200 13146
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:39 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:43 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/ChangePasswordCtl.html HTTP/1.1" 200 22694
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:43 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:50 +0530] "GET /ORS_Project4/doc/com/rays/pro4/Model/package-frame.html HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:50 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:53 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/package-frame.html HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:53 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:55 +0530] "GET /ORS_Project4/doc/com/rays/pro4/controller/CollegeCtl.html HTTP/1.1" 200 22375
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:55 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:07:55 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 927
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:08:03 +0530] "GET /ORS_Project4/ctl/FacultyCtl HTTP/1.1" 200 10875
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:08:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:08:05 +0530] "GET /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:08:08 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [10/Jul/2022:20:08:16 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2569
